FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
HWSJ,"Hake, white | sow",3650.0,3650,1.65,2.32,2.77,1,2009,Hake
CADM,Cod | market,7143.0,5736,0.0,1.6,2.57,1,2009,Cod
CADS,Cod | scrod,73.0,39,0.0,1.0,1.13,1,2009,Cod
HDDL,Haddock | large,872.0,872,1.01,1.17,2.05,1,2009,Haddock
HWSS,"Hake, white | small",305.0,303,0.0,1.39,1.5,1,2009,Hake
HWSM,"Hake, white | medium",629.0,629,0.69,1.27,1.72,2,2009,Hake
PADS,"Pollock, Atl | small",10100.0,10080,0.0,0.61,1.12,2,2009,Pollock
FYWS,Yellowtail | small,145.0,142,0.0,0.96,0.96,2,2009,Yellowtail
PADL,"Pollock, Atl | large",6754.0,6754,0.56,1.29,1.8,2,2009,Pollock
HWSS,"Hake, white | small",182.0,182,0.35,0.81,1.02,2,2009,Hake
POWX,Redfish | mixed,1412.0,1412,0.71,1.02,1.17,2,2009,Redfish
CADM,Cod | market,7128.0,6830,0.0,1.83,2.5,2,2009,Cod
HWSJ,"Hake, white | sow",866.0,866,1.2,2.28,2.91,2,2009,Hake
CADS,Cod | scrod,83.0,83,0.97,1.6,1.78,2,2009,Cod
FYWL,Yellowtail | large,47.0,47,0.68,1.31,1.34,2,2009,Yellowtail
HDDL,Haddock | large,855.0,855,1.55,2.23,2.67,2,2009,Haddock
PADM,"Pollock, Atl | medium",13659.0,13647,0.0,0.79,1.46,2,2009,Pollock
CADL,Cod | large,1282.0,1259,0.0,2.61,3.9,2,2009,Cod
HDDS,Haddock | scrod,2875.0,2875,1.65,1.89,2.17,2,2009,Haddock
HWSL,"Hake, white | large",8952.0,8952,1.16,1.52,2.22,2,2009,Hake
HWSJ,"Hake, white | sow",9814.0,9514,0.82,2.36,2.84,3,2009,Hake
HWSM,"Hake, white | medium",1085.0,1085,0.5,1.45,2.29,3,2009,Hake
PADS,"Pollock, Atl | small",25516.0,25516,0.42,0.73,1.29,3,2009,Pollock
POWX,Redfish | mixed,12522.0,12522,0.35,0.55,1.25,3,2009,Redfish
CADS,Cod | scrod,722.0,722,0.99,1.5,1.76,3,2009,Cod
FYWL,Yellowtail | large,3.0,3,0.87,0.87,0.87,3,2009,Yellowtail
FYWS,Yellowtail | small,2.0,2,0.68,0.68,0.68,3,2009,Yellowtail
HWSS,"Hake, white | small",428.0,425,0.0,1.0,1.41,3,2009,Hake
HDDL,Haddock | large,1162.0,1162,1.5,2.2,2.68,3,2009,Haddock
PADM,"Pollock, Atl | medium",41884.0,41884,0.43,0.91,1.67,3,2009,Pollock
CADL,Cod | large,5291.0,5291,1.95,2.32,3.02,3,2009,Cod
CADM,Cod | market,20964.0,20964,1.39,1.85,2.29,3,2009,Cod
HDDS,Haddock | scrod,3091.0,3091,1.25,1.87,2.5,3,2009,Haddock
